2026-03-13 13:16:14 | INFO | application.py:128 | start | Init ReMe with config: {"backend":"cmd","app_name":"ReMe","working_dir":"/root/.copaw","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus","request_interval":1}},"embedding_models":{"default":{"backend":"openai","model_name":"text-embedding-v4","dimensions":1024,"enable_cache":true,"use_dimensions":false,"max_cache_size":2000,"max_input_length":8192,"max_batch_size":10}},"vector_stores":{},"file_stores":{"default":{"backend":"chroma","store_name":"copaw","embedding_model":"default","fts_enabled":true,"vector_enabled":false}},"token_counters":{"default":{"backend":"base","model_name":""},"hf":{"backend":"hf","model_name":"Qwen/Qwen3-Coder-30B-A3B-Instruct","use_mirror":true}},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["/root/.copaw/MEMORY.md","/root/.copaw/memory.md","/root/.copaw/memory"],"suffix_filters":[".md"],"recursive":false,"scan_on_start":true}},"metadata":{"context_window_tokens":128000,"reserve_tokens":36000,"keep_recent_tokens":20000,"vector_weight":0.7,"candidate_multiplier":3.0}}
2026-03-13 13:16:14 | INFO | base_embedding_model.py:141 | _load_cache | No cache file found at /root/.copaw/embedding_cache/embedding_cache.jsonl, starting with empty cache
2026-03-13 13:16:14 | INFO | chroma_file_store.py:134 | start | ChromaDB initialized with collection: chunks_copaw
2026-03-13 13:16:14 | INFO | chroma_file_store.py:135 | start | File metadata will be persisted to: /root/.copaw/copaw_file_metadata.json
2026-03-13 13:16:14 | WARNING | base_file_watcher.py:116 | _scan_existing_files | Watch path does not exist: /root/.copaw/memory.md
2026-03-13 13:16:14 | INFO | base_file_watcher.py:137 | _scan_existing_files | [SCAN_ON_START] Found 7 existing files matching watch criteria
2026-03-13 13:16:16 | INFO | full_file_watcher.py:65 | _on_changes | delete_file /root/.copaw/memory/2026-03-10.md
2026-03-13 13:16:16 | INFO | full_file_watcher.py:68 | _on_changes | Upserted 3 chunks for /root/.copaw/memory/2026-03-10.md
2026-03-13 13:16:16 | INFO | full_file_watcher.py:77 | _on_changes | File 1 changed: /root/.copaw/memory/2026-03-10.md
2026-03-13 13:16:16 | INFO | full_file_watcher.py:65 | _on_changes | delete_file /root/.copaw/memory/2026-03-05.md
2026-03-13 13:16:16 | INFO | full_file_watcher.py:68 | _on_changes | Upserted 4 chunks for /root/.copaw/memory/2026-03-05.md
